№ действия,"Роль (актор на конкретном шаге, в т.ч. Судья)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
0,Судья,"",—,Появилась необходимость рассмотреть кассационную жалобу на судебный приказ,—,"Судья принимает решение о необходимости рассмотрения кассационной жалобы на судебный приказ. Особенности кассационного производства, связанные с пересмотром вступившего в законную силу судебного приказа определяются согласно положениям ст. 288.1 Вступившие в законную силу судебные приказы арбитражных судов первой инстанции могут быть обжалованы в порядке кассационного производства по правилам, предусмотренным настоящей главой, с учетом особенностей, установленных настоящей статьей.Кассационная жалоба на судебный приказ рассматривается в суде кассационной инстанции судьей единолично без вызова сторон. С учетом характера и сложности рассматриваемого вопроса, а также доводов кассационной жалобы и возражений относительно кассационной жалобы суд может вызвать лиц, участвующих в деле, в судебное заседание.Кассационная жалоба подается в арбитражный суд на бумажном носителе или в электронном виде, в том числе в форме электронного документа. Кассационная жалоба должна соответствовать требованиям ст. 277 АПК РФ и Порядка подачи в арбитражные суды Российской Федерации документов в электронном виде."
1,Система,Судебное дело/номенклатурное дело,Запуск проверок согласно правил с учетом типа дела ,Начать анализ,—,Система запускает параллельный процесс проверок для формирования отчета и сохранения данных в системе для использования в документах.
2,Судья,"","",Параллельный шлюз,—,Параллельный шлюз. Судья распределяет задачи по параллельным веткам проверки
3,Система,"","",Проверить корректность применения норм материального права,—,Использование ИС для автоматической проверки соответствия норм права
4,Судья,"","",Допущены нарушения? Эксклюзивный шлюз,—,"Судья принимает решение о наличии нарушений материального права.Да: переход к шагу 5,Нет: переход к шагу 13"
5,Судья,"","",Какие нарушения допущены?Неэксклюзивный шлюз,—,"Судья распределяет проверку по различным типам нарушений материального права. Переход к шагам 5-10Согласно ч.5 ст. 2881. АПК РФ: Арбитражный суд кассационной инстанции проверяет законность судебного приказа, устанавливая правильность применения норм материального права и норм процессуального права при вынесении судебного приказа и исходя из доводов, содержащихся в кассационной жалобе и возражениях относительно жалобы."
6,Судья,"","",Неправильное истолкование закона,—,Судья проверяет правильность истолкования закона при вынесении судебного приказа
7,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"Неприменение закона, подлежащего применению",—,Автоматическая проверка применения всех необходимых норм
8,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"Применение закона, не подлежащего применению",—,Автоматическая проверка соответствия применяемых норм
9,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Несоблюдение обязательного претензионного порядка,—,Автоматическая проверка соблюдения претензионного порядка
10,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Истечение срока исковой давности,—,Автоматический расчет и проверка сроков
11,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Несоблюдение обязательного досудебного порядка,—,Автоматическая проверка соблюдения досудебного порядка
12,Судья,—,—,Неэксклюзивный шлюз,—,"Неэксклюзивный шлюз, переход к шагу 13Автоматическое объединение результатов"
13,Судья,—,—,Эксклюзивный шлюз ,—,"Эксклюзивный шлюз для координации процессов. Судья координирует переход к следующему этапу проверки, переход к шагу 44"
14,Судья,Данные по судебному/номенклатурному делу,Вывод пользователя,Проверить нарушение норм процессуального права,—,Судья проверяет соблюдение норм процессуального права в системе при вынесении судебного приказа 
15,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"Проверить законность состава суда, принявшего решение по делу",—,"Система проверяет законность состава суда, принявшего судебный приказ. Согласно ч.1 ст.18 АПК РФ: Состав суда для рассмотрения каждого дела, в том числе с участием арбитражных заседателей, формируется с учетом нагрузки и специализации судей путем использования автоматизированной информационной системы. В случае невозможности использования в суде автоматизированной информационной системы допускается формирование состава суда в ином порядке, исключающем влияние на его формирование лиц, заинтересованных в исходе судебного разбирательства."
16,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить соблюдение правил о языке при рассмотрении дела,—,Система проверяет соблюдение правил о языке при рассмотрении дела согласно ст. 12 АПК РФ
17,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить надлежащее извещение,—,"Система проверяет надлежащее извещение участников процесса согласно ст. 123 АПК РФ Лица, участвующие в деле, и иные участники арбитражного процесса считаются извещенными надлежащим образом, если к началу судебного заседания, совершения отдельного процессуального действия арбитражный суд располагает сведениями о получении адресатом копии определения о принятии искового заявления или заявления к производству и возбуждении производства по делу, направленной ему в порядке, установленном настоящим Кодексом, или иными доказательствами получения лицами, участвующими в деле, информации о начавшемся судебном процессе."
18,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить корректность подписания решения,—,Система проверяет корректность подписания судебного приказа
19,Судья,—,—,Подписано ЭП?,—,Эксклюзивный шлюз. Да: переход к шагу 20 Нет: переход к шагу 21
20,Судья,—,—,Проверить корректность применения норм материального права,—,Судья проверяет правильность применения норм материального права при вынесении судебного приказа
21,Судья,—,—,Эксклюзивный закрывающий шлюз,—,Эксклюзивный шлюз.
22,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить процедуру вынесения СП,—,Система проверяет соблюдение процедуры вынесения судебного приказа согласно положениям гл. 29.1 АПК РФ
23,Судья,—,—,Есть нарушение?,—,Эксклюзивный шлюз. Да: переход к шагу 24 Нет: переход к шагу 28
24,Судья,—,Переходы: к шагу 25; к шагу 26,Какое нарушение допущено?,—,Судья распределяет проверку по различным типам нарушений процедуры. Переходы: к шагу 25; к шагу 26
25,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Установлен спор о праве,—,"Система устанавливает наличие спора о праве, препятствующего вынесению судебного приказа"
26,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Требование не содержится в ст. 229.2 АПК РФ,—,"Система проверяет соответствие требования ст. 229.2 АПК РФ. Согласно данной статье судебный приказ выдается по делам, в которых: 1) требования вытекают из неисполнения или ненадлежащего исполнения договора и основаны на представленных взыскателем документах, устанавливающих денежные обязательства, если цена заявленных требований не превышает семьсот пятьдесят тысяч рублей; 2) требование основано на совершенном нотариусом протесте векселя в неплатеже, неакцепте и недатировании акцепта, если цена заявленного требования не превышает семьсот пятьдесят тысяч рублей; 3) заявлено требование о взыскании обязательных платежей и санкций, если указанный в заявлении общий размер подлежащей взысканию денежной суммы не превышает сто тысяч рублей."
27,Судья,—,—,Инклюзивный закрывающий шлюз,—,Инклюзивный закрывающий шлюз
28,Судья,—,—,Эксклюзивный закрывающий шлюз,—,Эксклюзивный шлюз.
29,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить соблюдение права должника на возражение,—,Система проверяет соблюдение права должника на возражение против судебного приказа
30,Судья,—,—,Есть нарушение?,—,Эксклюзивный шлюз. Да: переход к шагу 31 Нет: переход к шагу 36
31,Судья,—,Переходы: к шагу 32; к шагу 33; к шагу 34,Какое нарушение допущено?,—,Судья распределяет проверку по различным типам нарушений процедуры. Переходы: к шагу 32; к шагу 33; к шагу 34
32,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Ненаправление копии СП должнику,—,Система проверяет факт ненаправления копии судебного приказа должнику
33,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,У должника отсутствовала возможность заявить возражения,—,"Система проверяет, была ли у должника возможность заявить возражения"
34,Судья,—,—,Суд необоснованно проигнорировал возражения должника,—,"Судья проверяет, были ли рассмотрены возражения должника"
35,Судья,—,—,Инклюзивный закрывающий шлюз,—,Инклюзивный закрывающий шлюз
36,Судья,—,—,Эксклюзивный закрывающий шлюз,—,Эксклюзивный шлюз.
37,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Проверить соблюдение пределов требований по заявлению,—,"Судья проверяет соблюдение пределов требований, заявленных в заявлении о вынесении судебного приказа"
38,Судья,—,—,Есть нарушение?,—,Эксклюзивный шлюз. Да: переход к шагу 39 Нет: переход к шагу 43
39,Судья,—,Переходы: к шагу 40; к шагу 41,Какое нарушение допущено?,—,Судья распределяет проверку по различным типам нарушений процедуры. Да: переход к шагам 24-25
40,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"СП вынесен на сумму, превышающую заявленную",—,"Судья проверяет, не превышает ли сумма судебного приказа заявленную."
41,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,"СП вынесен на сумму, не подтвержденную документами",—,Судья проверяет подтверждение суммы документами
42,Судья,—,—,Инклюзивный закрывающий шлюз,—,Инклюзивный закрывающий шлюз
43,Судья,—,—,Эксклюзивный закрывающий шлюз,—,Эксклюзивный шлюз.
44,Судья,—,—,Параллельный закрывающий шлюз,—,Параллельный закрывающий шлюз
45,Система,Вывод системы анализа,Создание события и уведомления пользователя ,Закончить анализ и сформировать отчет,—, Система формирует отчет в событии и информирует пользователя о готовности отчета
46,Судья,уведомление,Вывод пользователя,Проверить выводы системы,—,"Переход к типовому процессу ""Проверить выводы системы""Возможность отправить данные об ошибке в техническую поддержку или сохранить данные в системе для изучения и принятия решения и использования в шаблонах документов."
47,Судья,—,Решение судьи,Принять решение по вопросу,—, Судья принимает решение по вопросу о прохождении всех проверок.
48,Судья,—,—,Проверки пройдены?,—,Эксклюзивный шлюз. Да: переход к шагу 49 Нет: переход к шагу 50
49,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Установить основания для оставления СП без изменения,—,"Судья устанавливает основания для оставления судебного приказа без изменения, а жалобу без удовлетворения"
50,Судья,—,—,Необходимо направить на новое рассмотрение?,—,Эксклюзивный шлюз. Да: переход к шагу 51 Нет: переход к шагу 54
51,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Установить основания для отмены СП,—,"Система устанавливает основания для отмены судебного приказа. Согласно ч.6 ст.228.1 отменить судебный приказ и направить дело на новое рассмотрение, если имеются основания, указанные в части 4 ст.288.1 АПК РФ Согласно ст.44 Постановления Пленума ВС РФ от 27.12.2016 N 62: Если судебным приказом разрешен вопрос о правах и обязанностях лица, не участвовавшего в приказном производстве, такое лицо (например, конкурсные кредиторы, уполномоченный орган, арбитражный управляющий) вправе обжаловать судебный приказ применительно к статье 42 и части 11 статьи 229.5 АПК РФ. Так, в случае, если вынесенный судебный приказ влечет или может повлечь необоснованное увеличение кредиторской задолженности в ущерб конкурсной массе, суд кассационной инстанции отменяет судебный приказ применительно к пункту 4 части 4 статьи 288 АПК РФ."
52,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Указать на направление на новое рассмотрение,—,Система указывает на необходимость направления дела на новое рассмотрение
53,Судья,—,—,Эксклюзивный закрывающий шлюз,—,Эксклюзивный шлюз.
54,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Установить основания для отмены СП,—,"Система устанавливает основания для отмены судебного приказа. Согласно ч.6 ст.228.1 отменить судебный приказ и направить дело на новое рассмотрение, если имеются основания, указанные в части 4 ст.288.1 АПК РФ Согласно ст.44 Постановления Пленума ВС РФ от 27.12.2016 N 62: Если судебным приказом разрешен вопрос о правах и обязанностях лица, не участвовавшего в приказном производстве, такое лицо (например, конкурсные кредиторы, уполномоченный орган, арбитражный управляющий) вправе обжаловать судебный приказ применительно к статье 42 и части 11 статьи 229.5 АПК РФ. Так, в случае, если вынесенный судебный приказ влечет или может повлечь необоснованное увеличение кредиторской задолженности в ущерб конкурсной массе, суд кассационной инстанции отменяет судебный приказ применительно к пункту 4 части 4 статьи 288 АПК РФ."
55,Система,Данные по судебному/номенклатурному делу,Вывод системы анализа,Указать на возможность обращения в другом порядке,—,"Система указывает на возможность обращения в другом порядке согласно ч.6 ст.288.1 АПК РФ: отменить судебный приказ, указав при этом в постановлении на право взыскателя предъявить требование в порядке искового производства или производства по делам, возникающим из административных и иных публичных правоотношений"
56,Судья,—,—,Эксклюзивный закрывающий шлюз,—,Эксклюзивный закрывающий шлюз
57,Судья,—,Постановление арбитражного суда кассационной инстанции по результатам рассмотрения кассационной жалобы на судебный приказ,Принять СА,—,"Переход к типовому процессу ""Принять СА"". В результате данного ТП Судья принимает судебный акт по результатам рассмотрения кассационной жалобы (Постановление арбитражного суда кассационной инстанции по результатам рассмотрения кассационной жалобы на судебный приказ)"
58,Судья,—,—,Кассационная жалоба на судебный приказ рассмотрена.Завершение процесса,—, Кассационная жалоба на судебный приказ рассмотрена.Завершение процесса
