Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0,Судья,-,-,Возникла необходимость взыскать/распределить судебные расходыСтартовое событие,-,"Вопросы распределения судебных расходов, отнесения судебных расходов на лицо, злоупотребляющее своими процессуальными правами, и другие вопросы о судебных расходах разрешаются арбитражным судом соответствующей судебной инстанции в судебном акте, которым заканчивается рассмотрение дела по существу, или в определении (ч. 1 ст. 112 АПК РФ).Заявление по вопросу о судебных расходах, понесенных в связи с рассмотрением дела в арбитражном суде первой, апелляционной, кассационной инстанций, рассмотрением дела в порядке надзора, не разрешенному при рассмотрении дела в соответствующем суде, может быть подано в арбитражный суд, рассматривавший дело в качестве суда первой инстанции, в течение трех месяцев со дня вступления в законную силу последнего судебного акта, принятием которого закончилось рассмотрение дела по существу. (ч. 2 ст. 112 АПК РФ).Судебные расходы состоят из государственной пошлины и судебных издержек, связанных с рассмотрением дела арбитражным судом (ст. 101 АПК РФ)Судья инициирует процесс взыскания или распределения судебных расходов. Процесс может быть инициирован как по инициативе суда при принятии решения, так и по заявлению лица."
"",Судья,"","",Запустить процесс взыскать/распределить судебные расходы ,"",Судья запускает процесс обработки вопроса взыскания/распределения судебных расходов системой.
"",Система,"","",Анализировать дело ,"","Система проводит анализ дела (в том числе с помощью LLM, скриптов) "
"",Судья,-,-,Было заключено соглашение?Эксклюзивный шлюз,-,"Система проверяет наличие заключенного между сторонами соглашением о распределении судебных расходов.Если да, то переход к шагу 4. Если нет, то переход к шагу 10"
"",Судья,Соглашение лиц о распределении судебных расходов,-,Стороны подтверждают распределение в соответствии с соглашением?Эксклюзивный шлюз,-,"Судья уточняет намерение лиц по соглашению.Если да, то переход к шагу 5. Если нет, то переход к шагу 10"
"",Судья,Соглашение лиц о распределении судебных расходов,-,Распределить судебные расходы в соответствии с соглашением,-,"Система распределяет расходов в соответствии с правилами соглашения, заключенного лицами, с учетом сохранения их намерения распределения в соответствии с договоренностями в соглашении."
"",Система,-,Отчет,Сформировать отчет,-,"Система формирует отчет о распределении судебных расходов, в котором указывает, что расходы распределены в соответствии с соглашением и указывает суммы, распределенные на лиц."
"",Судья,Отчет,-,Проверить выводы системы,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого судья проверяет корректность ответа системы на обработку данных о распределении."
"",Судья,-,-,Принять решение,-,Судья принимает и фиксирует в системе решение по вопросу распределения судебных расходов согласно соглашению.
"",Судья,-,-,Завершение процесса. ,-,Завершение процесса. Судебные расходы распределены по соглашению 
"",Судья,-,-,Эксклюзивный закрывающий шлюз,-,Эксклюзивный закрывающий шлюз
"",Судья,-,-,Судебные расходы по делу об установлении юр. Фактов?Эксклюзивный шлюз,-,"Дело об установлении юридических фактов не предполагает возмещения судебных расходов в соответствии с АПК. Судья проверяет категорию дела.Если да, то переход к шагу 12. Если нет, то переход к шагу 17"
"",Система,-,-,Записать отсутствие оснований для возмещения суд. расходов ,-,Система фиксирует отсутствие оснований для возмещения суд. Расходов ввиду характера дела — дело об установлении юридических фактов.
"",Система,-,Отчет,Сформировать отчет ,-,"Система формирует отчет, в котором указывает на отсутствие оснований для возмещения судебных расходов"
"",Судья,Отчет,-,Проверить выводы системы,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого судья проверяет корректность вывода системы об отсутствии оснований."
"",Судья,"","",Принять решение,"","Судья принимает решение по вопросу распределения, опираясь на системный отчет."
"",Судья,-,-,Завершение процесса.,-,Завершение процесса. Отсутствуют основания для взыскания/распределения судебных расходов 
"",Судья,-,-,Есть необходимость распределения в связи с злоупотреблением?Эксклюзивный шлюз,-,"В случае, если спор возник вследствие нарушения лицом, участвующим в деле, претензионного или иного досудебного порядка урегулирования спора, или при злоупотреблении лицом своих прав и неисполнении обязанностей, суд может отнести судебные расходы на это лицо в полном объеме (ст. 111 АПК РФ)Если да, то переход к шагу 19. Если нет, то переход к шагу 18"
"",Судья,-,-,Переход к шагу 36,-,Переход к шагу 36
"",Судья,-,-,Неэксклюзивный шлюз.,-,Неэксклюзивный шлюз. Система/Судья осуществляет проверки
"",Система,-,-,Проверить причину возникновения спора,-,"В случае, если спор возник вследствие нарушения ЛУВД претензионного или иного досудебного порядка урегулирования спора, предусмотренного ФЗ или договором, в том числе нарушения срока представления ответа на претензию, оставления претензии без ответа, арбитражный суд относит на это лицо судебные расходы независимо от результатов рассмотрения дела (ч. 1 ст. 111 АПК РФ)Система проверяет основание (причину) возникновения спора по делу."
"",Система,-,-,"Спор возник из-за нарушения лицом, участвующим в деле, претензионного или иного досудебного порядка урегулирования спора?Эксклюзивный шлюз",-,"Система делает вывод о том, имело ли место нарушение ЛУВД досудебного порядка.Если да, то переход к шагу 22. Если нет, то переход к шагу 35"
"",Система,-,-,Отнести возмещение суд. расходов на нарушителя,-,"Система относит и фиксирует факт отнесения возмещения судебных расходов на лицо, нарушившее претензионный или иной досудебный порядок. По заявлению лица, участвующего в деле, на которое возлагается возмещение судебных расходов, арбитражный суд вправе уменьшить размер возмещения, если этим лицом представлены доказательства их чрезмерности (ч. 3 ст. 111 АПК РФ)."
"",Система,-,Отчет,Сформировать отчет ,-,"Система формирует отчет, в котором указывает на факт отнесения возмещение суд. расходов на нарушителя, указывает основание, по которому она пришла к такому выводу."
"",Судья,Отчет,-,Проверить выводы системы,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого судья проверяет корректность вывода системы об отнесении судебных расходов на нарушителя."
"",Судья,"","",Принять решение,"","Судья принимает решение по вопросу распределения, опираясь на системный отчет."
"",Судья,-,-,Завершение процесса.,-,Завершение процесса. Судебные расходы взысканы/распределены 
"",Судья,-,-,Проверить факт злоупотребления лицом правами,-,"Арбитражный суд вправе отнести все судебные расходы по делу на лицо, злоупотребляющее своими процессуальными правами или не выполняющее своих процессуальных обязанностей, если это привело к срыву судебного заседания, затягиванию судебного процесса, воспрепятствованию рассмотрения дела и принятию законного и обоснованного судебного акта (ч. 2 ст. 111 АПК РФ)Судья проверяет факт злоупотребления со стороны лица на основе имеющейся в системе информации."
"",Судья,-,-,Факт злоупотребления установлен?Эксклюзивный шлюз,-,"Если да, то переход к шагу 29. Если нет, то переход к шагу 35"
"",Судья,-,-,"Суд считает необходимым возложить возмещение суд. расходов на сторону, злоупотребляющим правом?Эксклюзивный шлюз",-,"Судья делает вывод о необходимости возложения возмещения расходов на злоупотребляющее лицо.Если да, то переход к шагу 30. Если нет, то переход к шагу 35"
"",Система,-,-,Отнести возмещение суд. расходов на злоупотребляющее лицо,-,"Система относит и фиксирует факт отнесения возмещения судебных расходов на лицо, злоупотребляющее правом.По заявлению лица, участвующего в деле, на которое возлагается возмещение судебных расходов, арбитражный суд вправе уменьшить размер возмещения, если этим лицом представлены доказательства их чрезмерности (ч. 3 ст. 111 АПК РФ)."
"",Система,-,Отчет,Сформировать отчет ,-,"Система формирует отчет, в котором указывает на факт отнесения возмещение суд. расходов на нарушителя, указывает основание, по которому она пришла к такому выводу."
"",Судья,Отчет,-,Проверить выводы системы,-,"Переход к типовому процессу «Проверить выводы системы», в рамках которого судья проверяет корректность вывода системы об отнесении судебных расходов на нарушителя."
"",Судья,-,-,Принять решение,-,"Судья принимает решение по вопросу распределения, опираясь на системный отчет."
"",Судья,-,-,Завершение процесса.,-,Завершение процесса. Судебные расходы взысканы/распределены 
"",Судья,-,-,Эксклюзивный шлюз,-,"Если да, то переход к шагу 23. Если нет, то переход к шагу 24"
"",Судья,-,-,Параллельный шлюз,-,Параллельный шлюз
"",Система,-,-,Анализировать вопрос по госпошлине ,-,"Судебные расходы состоят из государственной пошлины и судебных издержек, связанных с рассмотрением дела арбитражным судом (ст. 101 АПК РФ)Система приступает к анализу вопроса о госпошлине."
"",Судья,-,Результат проверки ГП,Проверить госпошлину,-,"Переход к типовому процессу ""Проверить госпошлину"".В рамках процесса система проверяет факт уплаты госпошлины на основе подтверждающих документов (квитанции), проверяет наличие льгот по оплате ГП у лица, а также анализирует вопросы, связанные с рассрочкой/отсрочкой уплаты ГП, и формирует рекомендации судье. Судья валидирует выводы системы."
"",Судья,Проверка наличия льгот по уплате ГП,-,Истец освобожден от уплаты госпошлины?Эксклюзивный шлюз,-,"Если у лица есть льготы по уплате ГП (ст. 105 АПК РФ), то переход к шагу 40. Если нет, то переход к шагу 51"
