№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага,Срок,Описание
0,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Внесены изменения в закон,__,Сотрудник отдела обобщения судебной практики и анализа судебной статистики узнает о внесении изменений в НПА.
1,Система,—,—,Уведомить сотрудника,__,Система направляет уведомление сотруднику об изменениях в законе.
2,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,"__, Изменения в законе",—,Ознакомиться с изменениями,__,Сотрудник отдела обобщения судебной практики и анализа судебной статистики знакомится с изменениями в законе.
3,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,__,__,Требуется ли информирование работников суда?. Эксклюзивный шлюз,__,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики решает вопрос о необходимости информирования работников об изменениях.Если «Да» - переход к шагу 4,Ели «Нет» - переход к шагу 3"
3 ,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,__,__,Завершение процесса.,__,Информирование работников не осуществлялось. 
4,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,Уведомление об изменениях в законах,Создать уведомление об изменениях в законах,__,Сотрудник отдела обобщения судебной практики и анализа судебной статистики создает уведомление для сотрудников о произошедших изменениях в законодательстве.
5,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Ознакомление обязательно?. Эксклюзивный шлюз,—,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики решает есть ли необходимость обязательного ознакомления всех сотрудников под роспись в связи с важностью изменений в НПА, напрямую влияющих на работу и принятия решений судьей.Если «Да», то переход к шагу 6Если «Нет», то переход к шагу 7"
6,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Установить обязательность,__,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики устанавливает обязательность ознакомления с изменениями в НПА. Для этого в уведомлении составляется список сотрудников, которых необходимо ознакомить с изменением и каждый сотрудник при ознакомлении должен подписаться о том, что с изменениями он ознакомлен."
7,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Эксклюзивный закрывающий шлюз,—,Закрывающий шлюз для шага 5 процесса.. 
8,Сотрудник отдела обобщения судебной практики и анализа судебной статистики,—,—,Требуется ли опубликовать измененный закон?. Эксклюзивный  шлюз,—,"Сотрудник отдела обобщения судебной практики и анализа судебной статистики выясняет требуется ли опубликовать измененный закон в файловом хранилище или на внутреннем портале суда.Если «Да», то переход к шагу 9Если «Нет», то переход к шагу10"
