№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание
0,Судья,-,-,Появилась необходимость рассмотреть заявление о фальсификации доказательств,-,Появилась необходимость рассмотреть заявление о фальсификации доказательств
1,Система,заявление о фальсификации доказательств,Сформированная карточка для использования шаблона расписки.,Сформировать шаблон расписки,-,"Система предоставляет возможность запустить формирование шаблона расписки при поступлении ""заявления о фальсификации доказательств""."
2,Судья,Сформированная карточка для использования шаблона расписки.,Подписывает для отправки данных,Отправить расписку с разъяснением уголовно-правовых последствий,-,Отправить расписку с разъяснением уголовно-правовых последствий
3,"Лицо, заявившее о фальсификации","Документ для подписи, расписка",Ознакомление с новым документом в ЛК,Возникла необходимость участвовать в рассмотрении вопроса о фальсификации,-,"Лицо, представившее доказательство, принимает участие в рассмотрении вопроса."
4,"Лицо, заявившее о фальсификации",Подпись электронной подписью ,Подписанный документ с электронной подписью,"Подписать расписку, что правовые последствия ясны",-,"Подписать расписку, что правовые последствия ясны, после подписания документ отправляется в систему арбитражного суда"
5,"Лицо, заявившее о фальсификации",-,-,Расписка отправлена в суд.Завершающее событие.,-,Расписка отправлена в суд.Завершающее событие.
6,"Лицо, представившее доказательство",-,-,Возникла необходимость участвовать в рассмотрении вопроса о фальсификации,-,"Лицо, представившее доказательство, принимает участие в рассмотрении вопроса."
7,"Лицо, представившее доказательство",Расписка для ознакомления,Подписанный документ с электронной подписью,"Подписать расписку, что правовые последствия ясны",-,"Подписать расписку, что правовые последствия ясны, подписка отправляется в систему арбитражного суда."
8,Система,Расписки из ЛК с подписью,Создание номенклатурного дела с данными по расписке и присоединение к делу,Получить расписки,-,Система прикрепляет расписки к судебному делу/номенклатурному делуОтметить в системе появление данных документов как согласие ЛУВД которые представили доказательства и которые утверждают о фальсификации
9,Судья,"Учесть мнение лица, представившее доказательство на исключение","Получить информацию от лица, представившее доказательство",Спросить согласие лица на исключение доказательства,-,"Судья может исключить оспариваемое доказательство с согласия лица, его представившего, из числа доказательств по делу согласно п. 2 ч. 1 ст. 161 АПК.Судья спрашивает согласие лица на исключение доказательства из списка."
10,"Лицо, представившее доказательство",Устный запрос ,Устный ответ,Выразить мнение,-,"Лицо, представившее доказательство, выражает мнение касательно исключения доказательства."
11,"Лицо, представившее доказательство",-,Мнение и подписанная расписка переданы в суд,"Расписка отправлена, мнение на исключения доказательств учтеноЗавершающее событие",-,"Расписка отправлена, мнение на исключения доказательств учтеноЗавершающее событие"
12,Судья,-,-,Получено согласие? Эксклюзивный шлюз,-,"Получено согласие на исключение доказательства? Если «Да», то переход к шагу 13. Если «Нет», то переход к шагу 14."
13,Судья,Получено согласие на исключение доказательств,Судья в системе фиксирует данные о исключении согласно п. 2 ч. 1 ст. 161 АПК.,Исключить оспариваемое доказательство,-,"Система позволяет ставить пометку в сущности номенклатурного дела, что оно исключено с внесением причины.Судья исключает доказательство из списка доказательств с согласия лица согласно п. 2 ч. 1 ст. 161 АПК."
14,Судья,-,-,Какие меры будут приняты для проверки достоверности? Неэксклюзивный шлюз,-,"П. 3 ч. 1 ст. 161 АПК: Судья проверяет обоснованность заявления о фальсификации доказательства, если лицо, представившее это доказательство, заявило возражения относительно его исключения из числа доказательств по делу.В этом случае арбитражный суд принимает предусмотренные федеральным законом меры для проверки достоверности заявления о фальсификации доказательства, в том числе назначает экспертизу, истребует другие доказательства или принимает иные меры.Судья выбирает меры для проверки достоверности доказательства.Неэксклюзивный шлюз для перехода к шагам с 15 по 20"
15,Судья,-,Заключение эксперта,Назначить экспертизу,-,"Переход к типовому процессу ""Назначить экспертизу"".В рамках процесса назначается и проводится экспертиза для проверки достоверности доказательства. Процедура назначения и проведения экспертизы регламентирована ст. 82-87 АПК.По итогам экспертизы эксперт выносит заключение об итогах проверки факта фальсификации."
16,Судья,-,"Доказательства, представленные лицами по итогам процедуры",Истребовать доказательства,-,"Переход к типовому процессу ""Истребовать доказательства"".В рамках процесса суд истребует иные доказательства у лиц для подтверждения или опровержения факта фальсификации. Процедура истребования доказательств регламентирована ст. 66 АПК РФ."
17,Судья,-,-,"Рекомендовать стороне, заявившей о фальсификации, доп. док-ва",-,"Судья рекомендует стороне, заявившей о фальсификации, представить дополнительные доказательства для подтверждения заявления."
18,Судья,Данные для запроса и выбранное ведомство,Запрос в ведомствоОтвет на запрос,Направить запрос в ведомство,-,"Переход к типовому процессу ""Направить запрос в ведомство"".В рамках процесса судья направляет запросы в ведомства для получения дополнительной официальной информации, способной поспособствовать в решении вопроса о наличии фальсификации.Получение ответа — внутри типового процесса."
19,Судья,-,Консультация специалиста,Привлечь специалиста,-,"В целях получения разъяснений, консультаций и выяснения профессионального мнения лиц, обладающих теоретическими и практическими познаниями по существу разрешаемого арбитражным судом спора, арбитражный суд может привлекать специалиста (ст. 87.1 АПК РФ).Суд привлекает специалиста для дачи консультации по вопросу."
20,Судья,-,-,Принять иные меры,-,"Судья принимает иные меры, направленные на решение вопроса о наличии фальсификации доказательства."
21,Судья,-,-,Закрывающий неэксклюзивный шлюз,-,Закрывающий неэксклюзивный шлюз для шага 14 процесса
22,Судья,-,-,Необходимо отложение?Эксклюзивный шлюз,-,"Судья проверяет, необходимо ли отложение судебного заседания на более позднюю дату ввиду сложности вопроса.Если да, то переход к шагу 23.Если нет, то переход к шагу 24"
23,Судья,-,Определение об отложении СЗ,Рассмотреть вопрос об отложении СЗ,-,"Переход к типовому процессу ""Рассмотреть вопрос об отложении СЗ"".В рамках процесса происходит отложение СЗ согласно процедуре, указанной в ст. 158 АПК. Оформляется определением об отложении СЗ, в котором указывается срок отложения и новая дата СЗ."
24,Судья,-,-,Закрывающий эксклюзивный шлюз,-,Закрывающий эксклюзивный шлюз для шага 22 процесса
25,Система,"Входящая информация по проверкам шагов 15, 16, 17, 18, 19, 20",Система формирует ответы в одно событие,Проанализировать результаты проверки достоверности,-,Система анализирует все необходимые материалы и данные по делу. Создает событие с результатами в системе для формирования рекомендации.
26,Система,Событие проверяется на наличие ошибок ,Система создает событие и отмечает пользователя для уведомления.,Сформировать рекомендацию,-,Система формирует рекомендацию для дальнейших шагов по делу с выводом всех полученных результатов проверок и отмечает пользователя в событии с рекомендацией для уведомления.
