№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
0,ЛУВД,-,-,Обнаружено имущество ликвидированного ЮЛ,-,Стартовое событие: Обнаружено имущество ликвидированного ЮЛ
1,Система,-,"",Получить данные о должнике из ЕГРЮЛ,-,Автоматический запрос информации из ЕГРЮЛ
2,ЛУВД,-,Заявление о назначении процедуры распределении обнаруженного имущества среди лиц имеющих на это право,Подать документы в суд,5 лет с момента внесения записи в ЕГРЮЛ,"Переход к типовому процессу ""Подать документы в суд"". Кредитор формирует и подает заявление об оспаривании сделок должника. Подача документов в электронном виде через форму подачи документов в суд"
3,Система,"","",Ограничить подачу,"",Ограничить подачу
4,Система,"","",Завершение процесса,"",Завершение процесса
5,ЛУВД,"","",Завершение процесса,"",Завершение процесса
6,Канцелярия,-,-,Поступило  Заявление о назначении процедуры распределении обнаруженного имущества среди лиц имеющих на это право,-,Поступило  Заявление о назначении процедуры распределении обнаруженного имущества среди лиц имеющих на это право
7,Канцелярия,"",Зарегистрированное дело,Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированное дело"
8,Судья,Зарегистрированный документ,Определение о принятии к производствуОпределение об отказе в принятии,Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Судья рассматривает вопрос о принятии заявления к производству. Переход к типовому процессу ""Рассмотреть вопрос о принятии"". Автоматические проверки соблюдения требований к заявлению, стадии рассмотрения дела о банкротстве, ожидание системой старта рассмотрения, задача на судью/помощника судьи , валидация проверок , формирование проектов судебных актов по вопросу о принятии (Оставление без движения, возвращение, отказ в принятии, принятие), подбор времени и места проведения СЗ, электронное извещение ЛУВДПри поступлении заявления на бумаге при отсутствии обоснования невозможности электронной формы заявление оставляется без движения. Если нарушение не устранено, то оно возвращается. Внутри ТП вопрос о возвращении, отказе в принятии, принятии заявления к производству."
9,Судья,Судебный акт по вопросу о принятии,—,Заявление принято к рассмотрению?Эксклюзивный шлюз,—,"Судья определяет, принято ли заявление к рассмотрениюЭксклюзивный шлюзДа: переход к шагу 46Нет: переход к шагу 10"
10,Судья,—,—,6 месяцев с даты вступления в законную силу СА,6 месяцев с даты вступления в законную силу судебного акта,Судья ожидает 6 месяцев с даты вступления в законную силу судебного акта
