Номер действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса,Предложения по автоматизации
0,Судья,-,-,Возникла необходимость принять САСтартовое событие,-,"В соответствии со ст. 15 АПК РФ «Арбитражный суд принимает судебные акты в форме судебного приказа, решения, постановления, определения.  Судебный акт, вынесенный арбитражным судом первой инстанции в порядке приказного производства, именуется судебным приказом. Судебный акт, принятый арбитражным судом первой инстанции при рассмотрении дела по существу, именуется решением. Судебные акты, принимаемые арбитражными судами апелляционной инстанции и судами кассационной инстанции, образованными в соответствии с Федеральным конституционным законом от 28 апреля 1995 года N 1-ФКЗ ""Об арбитражных судах в Российской Федерации"", по результатам рассмотрения апелляционных и кассационных жалоб, именуются постановлениями.  Все иные судебные акты арбитражных судов, принимаемые в ходе осуществления судопроизводства, именуются определениями».  Когда судья принял решение по делу и готов к вынесению итогового судебного акта или судье необходимо принять отдельный судебный акт по вопросу, возникшему в ходе рассмотрения дела, то стартует процесс принятия СА.  ",-
1,Судья,-,-,СА выносится в ходе СЗ/по итогам СЗ?Эксклюзивный шлюз,-,"Судья смотрит, проводилось ли судебное заседание при рассмотрении дела/вопроса по результатам которого нужно принять судебный акт.Если «Да», то переход к шагу 2 процесса. Если «Нет», то переход к шагу 6 процесса.",-
2,Судья,-,-,СА выносится коллегиально?Эксклюзивный шлюз,-,"Дело может быть рассмотрено коллегиально, а может быть рассмотрено единолично судьей. Судья смотрит коллегиально ли выносится судебный акт.Если «Да», то переход к шагу 3 процесса.Если «Нет», то переход к шагу 4 процесса.",-
3,Судья,-,-,"Переход к типовому процессу ""Принять СА коллегиально""",-,"Переход к типовому процессу ""Принять СА коллегиально"", результатом которого будет принятый коллегиально СА.",Автоматизация процесса коллегиального принятия
4,Судья,-,-,"Переход к типовому процессу ""Принять СА единолично""",-,"Переход к типовому процессу ""Принять СА единолично"", результатом которого будет принятый единолично судьей СА",Автоматизация процесса единоличного принятия
5,Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюх для шага 2 процесса ,-
6,Судья,-,-,"Переход к типовому процессу ""Сформировать проект СА"",",-,"Переход к типовому процессу ""Сформировать проект СА"", результатом которого будет сформированный проект СА в зависимости от его вида и порядка рассмотрения дела, а также в зависимости от вида спора.",Автоматическое формирование проекта СА
7,Судья,-,-,Требуется подписать УКЭП?Эксклюзивный шлюз,-,"Если СА выносится электронно, то он должен быть подписан УКЭП судьи. Судья решает требуется ли подписать судебный акт УКЭП?Если «Да», то переход к шагу 9 процесса.Если «Нет», то переход к шагу 8 процесса.",-
8,Судья,-,-,Подписать,-,Судья подписывает сформированный проект СА в системе ПК САД.,-
9,Судья,-,-,Подписать УКЭП,-,"Судья подписывает сформированный проект СА УКЭП в специальной программе, которая не является частью ПК САД.",Автоматическая подпись УКЭП
10,Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 7 процесса,-
11,Судья,-,-,Распечатать,-,"При выполнении решения в форме электронного документа дополнительно выполняется экземпляр данного решения на бумажном носителе, который также приобщается к делу. Судья распечатывает сформированный проект судебного акта.",Автоматическая печать документов
12,Судья,-,-,Подписать СА,-,Судья ставит подпись на распечатанном судебном акте.,-
13,Судья,-,-,Вынесен судебный приказ?(Эксклюзивный шлюз),-,"Судья вынес судебный приказ?Если «Да», то переход к шагу 15 процесса.Если «Нет», то переход к шагу 14 процесса",-
14,Судья,-,-,Приобщить к материалам дела,-,Судья приобщает подписанный СА к материалам дела.,-
15,Судья,-,-,Изготовить необходимое количество СП,-,"Так как судебный приказ является еще и исполнительным документом, при его вынесении сразу изготавливается необходимое количество для последующего направления сторонам и исполнения.Судья изготавливает необходимое количество судебных приказов.",Автоматическое изготовление копий
16,Судья,-,-,Приобщить один экземпляр к материалам дела,-,Судья приобщает один экземпляр судебного приказа к материалам дела,-
17,Судья,-,-,Вложить в дело для направления,-,Судья вкладывает остальные экземпляры СП в дело для последующего направления,-
18,Судья,-,-,Закрывающий шлюз,-,Закрывающий шлюз для шага 13 процесса.,-
19,Судья,-,-,Параллельный шлюз,-,Параллельный шлюз для координации процесса. Шаги 20 и 21 процесса происходят параллельно.,-
20,Судья,-,-,Переход в шаг 48. Событие ссылка.,-,Вынесенный СА подлежит обязательной публикации в КАД в соответствии с требованиями АПК РФ. Процесс переходит к шагу 48 процесса.,-
21,Судья,-,-,Был изготовлен СА в полном объёме?(Эксклюзивный шлюз),-,"Судья изготовил СА в полном объеме?Если «Да», то переход к шагу 22 процесса.Если «Нет», то переход к шагу 23 процесса.",-
22,Судья,-,-,Завершающее событие,-,Завершение процесса. Принят судебный акт.,-
